#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
115;J0220+36;NAN;NAN;NAN;57022;142.376;-23.107;35.20833333;36.36666667;1.0297;NAN;40;220;NAN;NAN;NAN;NAN;2.246;2.246;NAN;misc,lotaas;NAN
116;J0229+20;NAN;NAN;NAN;55388;151.579;-36.417;37.2625;20.96666667;0.8069;NAN;27;NAN;NAN;NAN;NAN;NAN;2.089;2.089;NAN;AO327;NAN
117;J0231+7026;NAN;NAN;NAN;49692;131.155;9.181;37.80832172;70.44274548;1.46682;3.11E-15;46.68;34;45.9;2.4;0.3;NAN;1.755;1.755;NAN;gb2,gbncc,lotaas;NAN
118;J0241+16;NAN;NAN;NAN;55668;157.964;-39.185;40.44166667;16.06666667;1.5454;NAN;16;NAN;NAN;NAN;NAN;NAN;0.936;0.936;NAN;AO327;NAN
119;J0242+62;NAN;NAN;NAN;54100;135.187;2.751;40.64583333;62.94722222;0.592;NAN;3.92;18;39;NAN;NAN;NAN;0.217;0.217;NAN;gb350,lotaas,gbncc;NAN
120;J0243+6027;NAN;NAN;NAN;54100;136.271;0.5;40.75;60.45;1.473;NAN;141;36;82;NAN;NAN;NAN;2.717;2.717;NAN;gb350,gbncc;NAN
121;J0244+14;NAN;NAN;NAN;56160;159.914;-40.14;41.2125;14.45;2.1281;NAN;31;NAN;NAN;NAN;NAN;NAN;2.796;2.796;NAN;AO327;NAN
122;J0248+4230;NAN;NAN;NAN;56588;144.877;-15.322;42.12917917;42.50569167;0.002601;1.69E-20;48.26;NAN;NAN;NAN;NAN;NAN;1.853;1.853;GRS:4FGL_J0248.6+4230[brj+21];FermiAssoc;HE[brj+21]
123;J0248+6021;48;48;NAN;54000;136.903;0.697;42.07757083;60.35964444;0.217094;5.51E-14;370;26;14;NAN;13.7;NAN;2;25;GRS:4FGL_J0248.4+6021[fermi21];misc;HE[tpc+11]
124;J0250+5854;NAN;NAN;NAN;57973;137.767;-0.505;42.57408333;58.90036111;23.535378;2.72E-14;45.28;NAN;NAN;NAN;NAN;NAN;1.558;1.558;NAN;lotaas;NAN
125;J0251+2606;17;NAN;NAN;56644;153.881;-29.486;42.76064042;26.10276944;0.002542;7.57E-21;20.22;NAN;NAN;NAN;NAN;NAN;1.17;1.17;GRS:4FGL_J0251.0+2605[drc+21];FermiAssoc;HE[cck+16]
126;J0255-5304;25;7;NAN;57600;269.862;-55.31;43.98455208;-53.07257639;0.447708;3.13E-17;15.9;7.5;12;17;5;NAN;1.514;1.514;NAN;mol1,mol2,pks70,ghrss;NAN
127;J0301+35;NAN;NAN;NAN;NAN;150.915;-20.736;45.25;35;0.1468;NAN;57.43;5.9;12;NAN;NAN;NAN;3.1;3.1;NAN;ar4,gbncc;NAN
128;J0302+2252;NAN;NAN;NAN;57811;158.436;-30.815;45.63329167;22.87002778;1.207165;8.25E-17;18.99;70;NAN;70;NAN;NAN;1.014;1.014;NAN;misc,lotaas;NAN
129;J0304+1932;6;-37;NAN;49289;161.135;-33.27;46.13797917;19.54761111;1.387584;1.3E-15;15.66;42;73.4;27;15.1;NAN;0.739;0.739;NAN;misc,mol2,gb4,lotaas;NAN
130;J0305+11;NAN;NAN;NAN;NAN;167.463;-39.662;46.275;11.38333333;0.8621;NAN;27.97;26;NAN;NAN;NAN;NAN;1.838;1.838;NAN;lotaas;NAN
131;J0307+7443;NAN;NAN;NAN;55196;131.704;14.223;46.97916667;74.72;0.00316;NAN;6.35;NAN;NAN;0.3;NAN;NAN;0.386;0.386;GRS:4FGL_0307.8+7443[fermi21];FermiAssoc;HE[hrm+11,fermi21]
132;J0312-0921;NAN;NAN;NAN;NAN;191.51;-52.378;48.02583333;-9.36555556;0.003704;1.97E-20;20.5;NAN;NAN;NAN;NAN;NAN;0.817;0.817;GRS:4FGL_J0312.1-0921[fermi21];misc,FermiAssoc;HE[trr+21,fermi21]
133;J0317+13;NAN;NAN;NAN;NAN;168.763;-36.04;49.475;13.48333333;1.9743;NAN;12.9;20;NAN;NAN;NAN;NAN;0.366;0.366;NAN;misc,lotaas;NAN
134;J0318+0253;NAN;NAN;NAN;NAN;178.457;-43.605;49.56475;2.88375;0.00519;NAN;26;NAN;NAN;NAN;NAN;NAN;1.33;1.33;GRS:4FGL_J0318.2+0254[fermi21];FermiAssoc;HE[wlz+18]
135;J0323+3944;26.5;-30.77;1.05;56000;152.18;-14.338;50.86109125;39.74788972;3.032072;6.36E-16;26.19;42.7;74.7;34;0.9;NAN;0.952;1.197;NAN;gb1,gb2,gb4,gbncc,lotaas;NAN
136;J0324+5239;NAN;NAN;NAN;56100;145.094;-3.48;51.23108333;52.65869444;0.33662;3.81E-16;115.46;45;81;NAN;0.19;NAN;2.29;2.29;NAN;htru_eff,gbncc;NAN
137;J0325+6744;NAN;NAN;NAN;56500;136.715;9.089;51.2713307;67.74982995;1.364679;1.55E-15;65.28;14;27;NAN;NAN;NAN;1.929;1.929;NAN;gbncc;NAN
138;J0329+1654;NAN;NAN;NAN;52225;168.499;-31.683;52.285625;16.90055556;0.89332;2.15E-16;40.82;17;37;0.6;NAN;NAN;2.557;2.557;NAN;ar4,lotaas;NAN
139;J0332+5434;16.97;-10.37;0.59;56000;144.995;-1.221;53.24754;54.5787025;0.71452;2.05E-15;26.76;6.6;31.4;1500;203;NAN;1.695;1.183;NAN;misc,jb1,gb1,gb2,gb3,gb4,lotaas,gbn;NAN
140;J0335+4555;-3.66;-0.08;0.41;56000;150.348;-8.038;53.81934;45.93151444;0.269201;7.35E-18;47.15;6.1;10.2;6;0.8;NAN;2.439;1.535;NAN;gb2,lotaas;NAN
141;J0335+6623;NAN;NAN;NAN;56500;138.383;8.588;53.98776332;66.38989798;1.761934;4.81E-15;66.73;30;52;10.5;NAN;NAN;1.907;1.907;NAN;gbncc,lotaas;NAN
142;J0337+1715;4.81;-4.42;0.73;55920;169.99;-30.039;54.43260787;17.25411889;0.002733;1.77E-20;21.32;NAN;NAN;NAN;NAN;NAN;1.3;0.816;OPT:[rsa+14],XRS:[ska+16];gb350;NAN
143;J0337+79;NAN;NAN;NAN;56657;130.58;18.709;54.34166667;79.02888889;2.05621;NAN;16.67;NAN;NAN;NAN;NAN;NAN;1.053;1.053;NAN;gbncc;RRAT[kkl+15]
144;J0340+4130;-0.532;-3.331;0.7;56675;153.783;-11.022;55.09703317;41.51258087;0.003299;7.05E-21;49.59;NAN;NAN;2;0.31;NAN;1.603;1.603;GRS:4FGL_J0340.3+4130[fermi21];FermiAssoc;HE
145;J0341+5711;NAN;NAN;NAN;54100;144.371;1.546;55.25;57.18333333;1.888;NAN;101;43;75;364.7;NAN;NAN;2.037;2.037;NAN;gb350,gbncc,lotaas;NAN
146;J0343+06;NAN;NAN;NAN;NAN;180.791;-36.929;55.75;6;1.00764;NAN;46;32;65;NAN;NAN;NAN;3.774;3.774;NAN;ar4,gbncc;NAN
147;J0343-3000;NAN;NAN;NAN;52950;227.758;-52.338;55.86641667;-30.00763889;2.597027;5.7E-17;20.2;35.3;273;NAN;1.3;NAN;1.594;1.594;NAN;pkshl,gbncc;NAN
148;J0343+5312;NAN;NAN;NAN;49309;147.017;-1.428;55.80378531;53.21484111;1.934478;1.34E-14;67.3;44.9;77.1;3.7;0.3;NAN;1.705;1.705;NAN;gb1,gb2,lotaas;NAN
149;J0344-0901;NAN;NAN;NAN;58393;197.397;-45.333;56.15612917;-9.01740556;1.226006;3.47E-15;30.9;17.1;24.5;NAN;0.15;NAN;1.507;1.507;NAN;fast_uwb;NAN
150;J0348+0432;4.04;3.5;NAN;56000;183.337;-36.774;57.18182917;4.53651611;0.039123;2.41E-19;40.46;3;5.6;NAN;NAN;NAN;2.1;2.256;NAN;gb350,lotaas,gbncc;NAN
151;J0349+2340;NAN;NAN;NAN;57813;167.434;-23.384;57.48908333;23.68138889;2.420771;1.1E-15;62.96;50;NAN;NAN;NAN;NAN;3.746;3.746;NAN;lotaas;NAN
152;J0355+28;NAN;NAN;NAN;NAN;165.177;-19.444;58.75;28;0.0943;NAN;48.68;8.3;18;NAN;NAN;NAN;1.789;1.789;NAN;gbncc;NAN
153;J0357-05;NAN;NAN;NAN;NAN;195.176;-40.525;59.48333333;-5.16222222;NAN;NAN;56.4;NAN;NAN;NAN;NAN;NAN;25;25;NAN;gbncc;RRAT[mss+20]
154;J0357+3205;117;115;NAN;54946;162.76;-16.006;59.46875;32.09027778;0.444104;1.3E-14;NAN;NAN;NAN;NAN;NAN;NAN;0.835;NAN;GRS:4FGL_J0357.8+3204[fermi21];FermiBlind;NRAD
155;J0357+5236;13.88;-10.61;0.28;56000;149.099;-0.522;59.43683458;52.61597028;0.19703;4.77E-16;103.71;12.5;26;12;1.9;NAN;3.571;2.025;NAN;gb2,gbncc;NAN
156;J0358+4155;NAN;NAN;NAN;56500;156.112;-8.62;59.51322767;41.92195353;0.226484;1.46E-16;46.33;10.5;16;NAN;NAN;NAN;1.481;1.481;NAN;gbncc,lotaas;NAN
157;J0358+5413;9.3;8.3;0.91;54096;148.19;0.811;59.72384917;54.22049556;0.156384;4.39E-15;57.14;3.9;10.8;46;23;NAN;1;1.594;XRS:PWN[mvk+06];misc,jb1,gb1,gb2,gb3,gb4,gbncc,lota;HE[to07]
158;J0358+6627;NAN;NAN;NAN;56500;140.128;10.064;59.65803763;66.46293697;0.091506;1.09E-17;62.33;2.3;4.4;NAN;NAN;NAN;1.884;1.884;NAN;gbncc,lotaas;NAN
159;J0359+5414;NAN;NAN;NAN;55716;148.231;0.883;59.858375;54.24880556;0.079427;1.67E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J0359.4+5414[fermi21],XRS:[wcp+;FermiBlind;NRAD
160;J0401-7608;NAN;NAN;NAN;57600;290.313;-35.907;60.465625;-76.13693056;0.545254;1.54E-15;21.7;20.3;27;19;3.8;NAN;1.014;1.014;NAN;mol2,pks70;NAN
161;J0405+3347;NAN;NAN;NAN;NAN;163.26;-14.318;61.25;33;0.0165;NAN;53.3;2.6;5.1;NAN;NAN;NAN;1.668;1.668;NAN;gbncc;NAN
162;J0406+30;NAN;NAN;NAN;NAN;165.571;-16.338;61.5;30;0.0026;NAN;49.37;26;3.8;NAN;NAN;NAN;1.641;1.641;NAN;gbncc;NAN
163;J0406+6138;12.4;22.74;0.22;56000;144.025;7.046;61.62533583;61.64483556;0.594576;5.57E-15;65.41;18.4;32.4;15;2.8;NAN;4.545;1.785;NAN;gb1,gb2,gb3,gb4,lotaas;NAN
164;J0407+1607;NAN;NAN;NAN;52799;176.618;-25.656;61.9789125;16.12122222;0.025702;7.9E-20;35.65;5.3;6.6;10.2;NAN;NAN;1.34;1.34;NAN;ar4,lotaas;NAN
165;J0408+551;NAN;NAN;NAN;54100;148.663;2.267;62;55;1.837;NAN;55;NAN;NAN;NAN;NAN;NAN;1.573;1.573;NAN;gb350,lotaas;NAN
166;J0408+552;NAN;NAN;NAN;54100;148.663;2.267;62;55;0.754;NAN;63.8;47;89;NAN;NAN;NAN;1.661;1.661;NAN;gb350,gbncc;NAN
167;J0410-31;NAN;NAN;NAN;55196;230.586;-46.671;62.6625;-31.12472222;1.8785;NAN;9.2;26;49;NAN;NAN;NAN;0.415;0.415;NAN;htru_pks,gbncc;RRAT
168;J0413+58;NAN;NAN;NAN;54100;147.122;4.934;63.25;58;0.687;NAN;57;21;55;NAN;NAN;NAN;1.63;1.63;NAN;gb350,lotaas,gbncc;NAN
169;J0414+31;NAN;NAN;NAN;NAN;166.112;-14.415;63.5;31;1.081;NAN;64.1;20;49;NAN;NAN;NAN;1.842;1.842;NAN;gbncc;NAN
170;J0415+6954;-0.757;-12.626;NAN;49874;138.911;13.667;63.98188898;69.90274737;0.390715;7.66E-17;27.45;4.4;12.1;6.4;0.5;NAN;1.368;1.368;NAN;gb2,gb4,gbncc,lotaas;NAN
171;J0417+35;NAN;NAN;NAN;49717;163.219;-10.518;64.42916667;35.75;0.6544;NAN;48.53;8;18;NAN;NAN;NAN;1.48;1.48;NAN;ar4,lotaas,gbncc;NAN
172;J0417+61;NAN;NAN;NAN;56292;145.299;7.54;64.25;61.13333333;0.440283;NAN;70.14;19;38;1.5;NAN;NAN;1.837;1.837;NAN;gbncc;NAN
173;J0418-4154;NAN;NAN;NAN;57600;246.262;-45.682;64.51572833;-41.90400556;0.757119;1.32E-15;24.32;14.9;27.8;NAN;NAN;NAN;2.519;2.519;NAN;ghrss;NAN
174;J0418+5732;NAN;NAN;NAN;55045;147.979;5.119;64.6411125;57.53969722;9.078388;4.1E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;XRS:SGR_0418+5729;misc;AXP,NRAD
175;J0418+6635;NAN;NAN;NAN;NAN;141.525;11.536;64.7;66.59027778;0.00291;NAN;77.6;NAN;NAN;NAN;NAN;NAN;2.206;2.206;GRS:4FGL_J0418.9+6636[fermi21];misc,FermiAssoc;HE[trr+21,fermi21]
176;J0419+44;NAN;NAN;NAN;54100;157.525;-4.494;64.75;44;1.241;NAN;71;NAN;NAN;NAN;NAN;NAN;1.687;1.687;NAN;gb350;NAN
177;J0420-5022;NAN;NAN;NAN;55430.6;258.136;-44.386;65.008125;-50.38002778;3.453004;2.76E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];misc;XINS,NRAD
178;J0421-0345;NAN;NAN;NAN;50847;197.504;-34.757;65.38981694;-3.75183645;2.161308;1.16E-15;44.61;25;36;6;0.5;NAN;2.196;2.196;NAN;pks70,gbncc;NAN
179;J0421+3255;NAN;NAN;NAN;57310;165.84;-11.921;65.38833333;32.93055556;0.900105;6E-17;77.02;231;634;NAN;NAN;NAN;1.939;1.939;NAN;misc,lotaas;NAN
180;J0426+4933;NAN;NAN;NAN;56100;154.436;0.288;66.5283875;49.56068333;0.922475;3.93E-14;84.3;14;28;NAN;0.19;NAN;1.795;1.795;NAN;gb350,htru_eff,lotaas,gbncc;NAN
181;J0435+2749;NAN;NAN;NAN;53400;171.842;-13.071;68.96590833;27.81713889;0.326279;8.17E-18;53.19;53;NAN;2;0.24;NAN;1.521;1.521;NAN;ar4,lotaas;NAN
182;J0437-4715;121.439;-71.475;6.37;54500;253.394;-41.963;69.31623406;-47.25253075;0.005757;5.73E-20;2.64;0.141;1.02;550;150.2;NAN;0.157;0.156;GRS:4FGL_J0437.2-4715[fermi21],OPT:[bbm+;pks70,pkshl;HE[bt93,aaa+09f]
183;J0447-04;NAN;NAN;NAN;56657;202.072;-29.657;71.75;-4.58333333;2.18819;NAN;29.83;NAN;NAN;NAN;NAN;NAN;0.675;0.675;NAN;gb350;RRAT
184;J0448-2749;NAN;NAN;NAN;51009;228.347;-37.918;72.17319758;-27.82964862;0.450448;1.48E-16;26.22;6;19;2;2;NAN;1.809;1.809;NAN;pks70,pkshl,gbncc;NAN
185;J0449-7031;NAN;NAN;NAN;52465;282.286;-35.512;72.273625;-70.52547222;0.479164;3.37E-15;65.83;7.9;NAN;NAN;0.14;NAN;49.7;50.463;EXGAL:LMC;misc;NAN
186;J0450-1248;NAN;NAN;NAN;49338;211.075;-32.629;72.5365875;-12.80197222;0.438014;1.03E-16;37.04;24.8;31.9;11;1.2;NAN;1.774;1.774;NAN;mol2,pks70;NAN
187;J0451-67;NAN;NAN;NAN;52817;278.41;-36.29;72.95833333;-67.3;0.245454;0;45;5.5;NAN;NAN;0.05;NAN;49.7;4.184;EXGAL:LMC;misc;NAN
188;J0452-1759;11.5;6;0.6;52275;217.078;-34.087;73.14210708;-17.98982528;0.548939;5.75E-15;39.9;26.8;36.8;82;16.8;NAN;0.4;2.711;NAN;mol1,mol2,pks70;NAN
189;J0453+1559;-5.5;-6;NAN;56400;184.125;-17.137;73.43922367;15.98925175;0.045782;1.86E-19;30.31;NAN;NAN;NAN;NAN;NAN;0.522;0.522;NAN;AO327;NAN
190;J0454+4529;NAN;NAN;NAN;56909;160.706;1.243;73.747125;45.49630556;1.389137;4.89E-15;20.83;23.54;48.3;NAN;NAN;NAN;0.765;0.765;NAN;lotaas;NAN
191;J0454+5543;53.34;-17.56;0.84;52275;152.617;7.547;73.53229417;55.72817694;0.340729;2.37E-15;14.59;8.1;29.1;59;13;NAN;1.18;0.637;NAN;gb1,gb2,gb4,gbncc,lotaas;NAN
192;J0455-6951;NAN;NAN;NAN;48757;281.29;-35.187;73.948125;-69.85952778;0.320423;1.02E-14;94.89;NAN;NAN;0.6;0.08;NAN;49.7;50.591;EXGAL:LMC;misc;NAN
193;J0456-69;NAN;NAN;NAN;52038;280.457;-35.334;74.125;-69.16666667;0.117073;NAN;103;NAN;NAN;NAN;NAN;NAN;49.7;50.514;EXGAL:LMC;misc;NAN
194;J0456-7031;NAN;NAN;NAN;52560;282.049;-34.966;74.01041667;-70.5185;0.800132;3.67E-14;100.3;8;NAN;NAN;0.05;NAN;49.7;51.132;EXGAL:LMC;misc;NAN
195;J0457+23;NAN;NAN;NAN;56160;178.305;-12.005;74.275;23.56666667;0.5049;NAN;59;NAN;NAN;NAN;NAN;NAN;1.517;1.517;NAN;AO327,lotaas;NAN
196;J0457-6337;NAN;NAN;NAN;52465;273.816;-36.701;74.28245833;-63.62511111;2.497012;2.1E-16;27.5;36;NAN;NAN;0.18;NAN;1.333;1.333;NAN;misc;NAN
197;J0457-69;NAN;NAN;NAN;55383;281.143;-35.113;74.25833333;-69.76666667;0.23139;NAN;91;NAN;NAN;NAN;NAN;NAN;49.7;50.356;EXGAL:LMC;misc;NAN
198;J0458-0505;NAN;NAN;NAN;55178;204.139;-27.348;74.65467083;-5.08475;1.88348;5.3E-16;47.81;18;40;NAN;NAN;NAN;1.938;1.938;NAN;gb350,gbncc;NAN
199;J0458-67;NAN;NAN;NAN;51810;278.67;-35.518;74.74583333;-67.71666667;1.1339;NAN;97;NAN;NAN;NAN;NAN;NAN;49.7;50.185;EXGAL:LMC;misc;NAN
200;J0459-0210;NAN;NAN;NAN;50845;201.444;-25.678;74.96642205;-2.16850891;1.133076;1.4E-15;21.02;10.1;50;11;0.6;NAN;0.16;0.16;NAN;pks70,lotaas,gbncc;NAN
201;J0501+4516;NAN;NAN;NAN;54750;161.547;1.949;75.27816667;45.27608889;5.762097;5.82E-12;NAN;NAN;NAN;NAN;NAN;NAN;2.2;NAN;SNR:G160.9+2.6,OPT:[dml+11];misc;AXP,NRAD
202;J0502+4654;-8;8;NAN;48717;160.363;3.077;75.51900417;46.90169167;0.638565;5.58E-15;41.83;22.7;36.6;10.8;2.5;NAN;1.319;1.319;NAN;gb1,gb3,gbncc;NAN
203;J0502-6617;NAN;NAN;NAN;48771;276.869;-35.504;75.71054167;-66.29966667;0.691251;2.31E-14;68.9;NAN;NAN;1;NAN;NAN;49.7;49.066;EXGAL:LMC;misc;NAN
204;J0506+50;NAN;NAN;NAN;NAN;157.896;5.803;76.55875;50.50833333;0.00339;NAN;43.4;NAN;NAN;NAN;NAN;NAN;1.383;1.383;GRS:4FGL_J0506.1+5028[fermi21];fast_uwb,FermiAssoc;HE[qpl+19,fermi21]
205;J0509+0856;5.4;-4.3;NAN;57384;192.486;-17.931;77.34264521;8.94028467;0.004056;4.41E-21;38.32;NAN;NAN;5;0.8;NAN;0.817;0.817;NAN;AO327;NAN
206;J0509+3801;NAN;NAN;NAN;56900;168.275;-1.187;77.38245035;38.02168971;0.076541;7.93E-18;69.08;5;12;NAN;NAN;NAN;1.562;1.562;NAN;gbncc;NAN
207;J0511-6508;NAN;NAN;NAN;52409;275.25;-34.827;77.98541667;-65.14347222;0.322062;2.06E-16;25.66;12;NAN;NAN;0.6;NAN;0.818;0.818;NAN;misc;NAN
208;J0514-4002A;5.19;-0.56;NAN;53623.16;244.514;-35.036;78.52788629;-40.04691472;0.004991;6.97E-22;52.14;NAN;NAN;0.28;NAN;0.01;12.1;25;GC:NGC1851;misc;NAN
209;J0514-4408;NAN;NAN;NAN;57330;249.515;-35.365;78.71745833;-44.14371667;0.320271;2.04E-15;15.12;NAN;NAN;NAN;NAN;NAN;0.966;0.966;GRS:[brs+19];ghrss;HE[brs+19]
210;J0517+2212;NAN;NAN;NAN;53400;182.176;-9.012;79.32144583;22.21441667;0.222367;1.16E-17;18.7;28;NAN;7;0.46;NAN;0.159;0.159;NAN;ar4,lotaas;NAN
211;J0518+5125;NAN;NAN;NAN;57829;158.262;7.903;79.6089375;51.43297222;0.912512;1.91E-16;39.24;33;NAN;NAN;NAN;NAN;1.337;1.337;NAN;lotaas;NAN
212;J0518+5416;NAN;NAN;NAN;56500;155.916;9.557;79.72166526;54.28055748;0.340203;1.68E-15;42.33;10;20;NAN;NAN;NAN;1.434;1.434;NAN;gbncc,lotaas;NAN
213;J0519+44;NAN;NAN;NAN;54100;164.464;3.754;79.75;44;0.515;NAN;52;NAN;NAN;NAN;NAN;NAN;1.421;1.421;NAN;gb350;NAN
214;J0519-6932;NAN;NAN;NAN;52466;280.287;-33.254;79.9454875;-69.53985556;0.263212;6.97E-16;119.4;4.1;NAN;NAN;0.14;NAN;49.7;49.741;EXGAL:LMC;misc;NAN
215;J0520-2553;NAN;NAN;NAN;51216;228.434;-30.543;80.15077229;-25.88674819;0.241642;3.01E-17;33.77;3;14;8;0.8;NAN;2.379;2.379;NAN;pks70,pkshl,gbncc;NAN
216;J0521-68;NAN;NAN;NAN;51871;279.124;-33.262;80.43333333;-68.58333333;0.433421;NAN;136;NAN;NAN;NAN;NAN;NAN;49.7;49.777;EXGAL:LMC;misc;NAN
217;J0522-6847;NAN;NAN;NAN;52503;279.348;-33.168;80.59608333;-68.78394444;0.674532;1.77E-14;126.45;12;NAN;NAN;0.19;NAN;49.7;49.581;EXGAL:LMC;misc;NAN
218;J0525+1115;31;-1;NAN;48262;192.695;-13.246;81.48520125;11.2553;0.354438;7.36E-17;79.42;13.9;20.8;19.5;1.94;NAN;1.841;1.841;NAN;mol2,gb4,lotaas;NAN
219;J0525-6607;NAN;NAN;NAN;52153;276.087;-33.246;81.50375;-66.07675;8.047;6.5E-11;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];misc;AXP,NRAD
220;J0528+2200;-20;7;NAN;53100;183.856;-6.896;82.21776667;22.00111111;3.745539;4.01E-14;50.87;151.9;214.2;57;8.9;NAN;1.215;1.215;NAN;gb1,gb3,gb4,lotaas;NAN
221;J0529-0715;NAN;NAN;NAN;58372;210.065;-21.582;82.2873875;-7.25734167;0.689224;5.75E-16;87.3;11.9;26.3;NAN;0.12;NAN;7.002;7.002;NAN;fast_uwb;NAN
222;J0529-6652;NAN;NAN;NAN;57600;276.975;-32.763;82.46208333;-66.87775;0.975737;1.55E-14;103.2;24;50;NAN;0.3;NAN;49.7;49.578;EXGAL:LMC;misc;NAN
223;J0530-39;NAN;NAN;NAN;NAN;243.875;-31.843;82.5;-39;0.907;NAN;48.5;34;42;NAN;NAN;NAN;25;25;NAN;gbncc;NAN
224;J0532-6639;NAN;NAN;NAN;52462;276.675;-32.481;83.24795833;-66.66036111;0.642743;5.35E-15;69.3;9;NAN;NAN;0.08;NAN;49.7;47.853;EXGAL:LMC;misc;NAN
225;J0532-69;NAN;NAN;NAN;55420;280.333;-32.163;83.01666667;-69.76666667;1.149196;NAN;124;NAN;NAN;NAN;NAN;NAN;49.7;49.602;EXGAL:LMC;misc;NAN
226;J0533+0402;NAN;NAN;NAN;57600;200.085;-15.326;83.35761667;4.03325;0.963018;1.6E-16;83.7;17;32;NAN;0.7;NAN;2.172;2.172;NAN;gb4,lotaas,gbncc;NAN
227;J0533-4524;NAN;NAN;NAN;57605.56;251.461;-32.264;83.307875;-45.41394444;0.157285;2.8E-16;18.93;NAN;NAN;NAN;NAN;NAN;1.239;1.239;NAN;misc;NAN
228;J0533+6759;NAN;NAN;NAN;55877;144.78;18.183;83.47975042;67.98819139;0.004388;1.26E-20;57.37;NAN;NAN;NAN;NAN;NAN;2.392;2.392;GRS:4FGL_J0533.8+6800[fermi21];FermiAssoc;HE
229;J0534-13;NAN;NAN;NAN;NAN;216.227;-22.957;83.5;-13;0.979;NAN;74.3;13;NAN;NAN;NAN;NAN;6.226;6.226;NAN;gbncc;NAN
230;J0534+2200;-14.7;2;NAN;40706;184.558;-5.784;83.63322083;22.01446111;0.033392;4.21E-13;56.77;3;4.7;550;14;NAN;2;1.311;GRS:4FGL_J0534.5+2200[fermi21],SNR:PWN:C;misc,ar4,gb4,lotaas;HE[cdt69,fhm+69,hjm+70]
231;J0534+34;NAN;NAN;NAN;NAN;174.353;0.746;83.625;34.11666667;NAN;NAN;24.5;NAN;NAN;NAN;NAN;NAN;0.403;0.403;NAN;misc;RRAT[ttm18]
232;J0534-6703;NAN;NAN;NAN;52410;277.129;-32.279;83.65070833;-67.06355556;1.817565;4.25E-13;94.7;25;NAN;NAN;0.08;NAN;49.7;48.82;EXGAL:LMC;misc;NAN
233;J0535-66;NAN;NAN;NAN;51393;276.884;-32.197;83.91666667;-66.86666667;0.210524;NAN;75;NAN;NAN;NAN;NAN;NAN;49.7;48.067;EXGAL:LMC;misc;NAN
234;J0535-6935;NAN;NAN;NAN;52200;280.076;-31.936;83.75;-69.58333333;0.200511;1.15E-14;93.7;NAN;NAN;NAN;0.05;NAN;49.7;48.857;EXGAL:LMC;misc;NAN
235;J0536-7543;3;65;NAN;57600;287.161;-30.821;84.12841667;-75.73188889;1.245856;5.78E-16;18.58;57.1;105;75;8.4;NAN;0.143;0.143;NAN;mol2,pks70;NAN
236;J0537-69;NAN;NAN;NAN;55420;279.768;-31.73;84.42916667;-69.35;0.112613;NAN;273;NAN;NAN;NAN;NAN;NAN;49.7;49.901;EXGAL:LMC;misc;NAN
237;J0537-6910;NAN;NAN;NAN;52061.33;279.559;-31.745;84.44756667;-69.17218889;0.016122;5.18E-14;NAN;NAN;NAN;NAN;0;NAN;49.7;NAN;EXGAL:LMC,SNR:N157B;misc;NRAD
238;J0538+2817;-23.57;52.87;0.72;52275;179.719;-1.686;84.604405;28.28587806;0.143158;3.67E-15;39.57;2.7;13.9;8.2;1.9;NAN;1.3;0.946;SNR:S147[acj+96];ar4,gb4,lotaas;HE[mkz+03]
239;J0540+3207;NAN;NAN;NAN;54780;176.719;0.761;85.15465;32.12702778;0.524271;4.48E-16;61.97;9;17;NAN;0.34;NAN;1.421;1.421;NAN;palfa,lotaas,gbncc;NAN
240;J0540-6919;NAN;NAN;NAN;51722;279.717;-31.516;85.046675;-69.33171389;0.05057;4.79E-13;146.5;18;NAN;0;0.02;NAN;49.7;48.907;GRS:4FGL_J0540.3-6920[fermi21],EXGAL:LMC;misc;HE[mp85]
241;J0540-7125;NAN;NAN;NAN;49527.17;282.148;-31.236;85.12833333;-71.42538889;1.286015;8.2E-16;29.41;30;70;5;0.3;NAN;0.547;0.547;NAN;pks70;NAN
242;J0542-68;NAN;NAN;NAN;51975;278.449;-31.406;85.64583333;-68.26666667;0.425189;NAN;114;NAN;NAN;NAN;NAN;NAN;49.7;48.893;EXGAL:LMC;misc;NAN
243;J0543+2329;NAN;NAN;NAN;48892;184.363;-3.318;85.79025;23.48472222;0.245975;1.54E-14;77.7;5.3;18.9;29;10.7;NAN;1.565;1.565;XRS:[pb15];jb1,gb1,ar4,gb4,lotaas;NAN
